Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,68.75700503587723,65.7816231250763,53.23951318860054,55.20257726311684,69.6471780538559,58.678556233644485,74.58759099245071,52.37589031457901,70.48442214727402,71.83194905519485
Full Body Error STD,26.803990826010704,20.75827866792679,14.559369534254074,13.463464565575123,22.164199501276016,40.96411541104317,27.759645134210587,14.331306330859661,28.778662905097008,22.254589945077896
Upper Body,50.52182450890541,53.255654871463776,51.93577706813812,55.20560219883919,43.77826675772667,47.30605334043503,59.10637974739075,49.28344488143921,52.33402922749519,45.728109776973724
Upper Body Error STD,19.577927887439728,17.216665670275688,17.550475895404816,17.296796664595604,13.149511069059372,27.09328942000866,18.03150400519371,13.072815723717213,21.39011211693287,15.585454180836678
Lower Body,86.99219673871994,78.30757647752762,54.543256759643555,55.19954487681389,95.51609307527542,70.05105912685394,90.06880968809128,55.468324571847916,88.63481134176254,97.93578088283539
Lower Body Error STD,42.12383180856705,30.556179583072662,16.797015443444252,15.19996952265501,35.92405095696449,61.11033260822296,45.394062995910645,20.10859176516533,44.450048357248306,33.81824493408203
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
17.056171417236328,4.7260212898254395,37.75870132446289,58.568965911865234,94.64666748046875,34.45296096801758,61.024200439453125,95.94052124023438,69.66446685791016,80.65921783447266,87.97207641601562,99.22863006591797,71.71002960205078,84.90263366699219,94.85348510742188,106.9468994140625
