Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,58.78444388508797,53.94410714507103,45.16792297363281,46.12888768315315,58.455031365156174,50.97706615924835,55.20039424300194,41.2643738090992,62.28439137339592,59.412550181150436
Full Body Error STD,26.970762759447098,19.452333450317383,13.426055200397968,12.56508007645607,21.91026881337166,41.00077599287033,20.97872644662857,11.556326411664486,30.08331172168255,21.091358736157417
Upper Body,44.21539232134819,43.37844252586365,45.54511606693268,48.26468601822853,37.367407232522964,37.77778893709183,50.17373710870743,39.666056632995605,46.540770679712296,41.43764451146126
Upper Body Error STD,19.71922628581524,14.864672906696796,15.752481296658516,16.617339104413986,12.27500569075346,26.732580736279488,17.832329496741295,11.109300889074802,22.30311743915081,14.745054766535759
Lower Body,73.35349917411804,64.50977921485901,44.79072242975235,43.993089348077774,79.54265922307968,64.17634338140488,60.22704765200615,42.86269471049309,78.02799344062805,77.38746702671051
Lower Body Error STD,42.29624941945076,30.9072807431221,16.52989536523819,14.174656011164188,36.1323244869709,60.777999460697174,31.249582767486572,15.68562351167202,46.54083773493767,33.39497372508049
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
17.43878173828125,2.2270560264587402,33.07154846191406,55.086944580078125,79.03949737548828,32.671871185302734,57.10628128051758,77.07996368408203,50.20264434814453,73.13549041748047,77.85372161865234,83.74274444580078,52.124725341796875,76.17343139648438,83.47860717773438,90.1165542602539
