Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,30.04961833357811,26.896975934505463,27.267582714557648,26.21268481016159,30.316747725009918,35.080984234809875,28.74482236802578,26.473261415958405,30.457941815257072,30.803155153989792
Full Body Error STD,10.446923784911633,6.616078317165375,7.418068591505289,5.092835519462824,10.592369362711906,21.18610590696335,7.258476223796606,4.9306051805615425,10.61193272471428,9.612378664314747
Upper Body,20.665032789111137,21.44063264131546,22.681185975670815,22.905968129634857,18.519289791584015,27.120795100927353,25.184305384755135,22.277001291513443,20.451629534363747,19.00363340973854
Upper Body Error STD,8.20833444595337,6.039713509380817,8.733450435101986,7.123679853975773,5.488150287419558,17.503967508673668,8.221658878028393,6.384187377989292,8.341292850673199,5.841486621648073
Lower Body,39.43420946598053,32.353319227695465,31.85397759079933,29.519403353333473,42.11420565843582,43.0411696434021,32.30533376336098,30.669523403048515,40.46425595879555,42.60267689824104
Lower Body Error STD,18.268229439854622,10.658342391252518,11.199853383004665,7.108757272362709,19.79408971965313,30.24011291563511,9.868432767689228,7.266655098646879,18.589714542031288,17.782466486096382
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
10.607598304748535,6.378599643707275,12.938323020935059,21.324752807617188,35.73473358154297,14.595419883728027,22.425891876220703,41.31485366821289,32.924129486083984,37.5426025390625,42.43965148925781,43.11994552612305,33.01238250732422,38.96113204956055,43.38105392456055,44.09379196166992
