Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,40.330611169338226,33.89402478933334,31.518902629613876,36.91709786653519,39.92130234837532,28.757041320204735,29.879139736294746,29.269147664308548,43.615300208330154,41.754767298698425
Full Body Error STD,18.031805753707886,10.321238078176975,8.334304206073284,10.126594454050064,16.132352873682976,6.217592395842075,8.850057609379292,7.338557858020067,20.424099639058113,14.701548032462597
Upper Body,28.915885835886,24.963654577732086,27.38700807094574,33.03339704871178,24.967564269900322,21.577823907136917,23.20483885705471,23.99243973195553,31.98954090476036,26.672881096601486
Upper Body Error STD,19.364167004823685,13.41706421226263,12.059257365763187,16.881436109542847,9.313737042248249,9.643882513046265,10.422834195196629,9.618367999792099,23.970529437065125,11.998381465673447
Lower Body,51.745325326919556,42.8243987262249,35.65079718828201,40.800791233778,54.87504601478577,35.93625873327255,36.55344247817993,34.54585000872612,55.24105206131935,56.836653500795364
Lower Body Error STD,24.50498752295971,13.921843841671944,9.248940274119377,11.919059790670872,26.493242010474205,6.122921127825975,12.127865105867386,9.559601545333862,25.857049971818924,22.516759112477303
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
12.060066223144531,1.570225477218628,16.37152671813965,37.52625274658203,51.82021713256836,16.68809700012207,38.8990364074707,56.39213562011719,42.038597106933594,49.420753479003906,53.51710510253906,61.2537727355957,41.8929443359375,49.28395462036133,55.23973846435547,61.31559371948242
