Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,44.47016492486,31.298503279685974,30.588682740926743,35.10880470275879,43.23846101760864,27.709374204277992,31.057270243763924,28.050659224390984,50.23382976651192,43.99379715323448
Full Body Error STD,27.85058692097664,11.056351475417614,8.618596009910107,12.287418358027935,22.874576970934868,7.783838082104921,23.855552077293396,8.468614891171455,32.27948769927025,17.813561484217644
Upper Body,30.34166805446148,25.04912205040455,28.21730263531208,34.652963280677795,25.930507108569145,21.159052848815918,23.972036316990852,24.216489866375923,33.9619405567646,27.74709090590477
Upper Body Error STD,21.03854902088642,13.651343993842602,11.94934081286192,17.49025285243988,11.866011656820774,7.018019445240498,12.20778189599514,9.444339200854301,25.859927758574486,12.87638396024704
Lower Body,58.59866738319397,37.54788637161255,32.960064709186554,35.564642399549484,60.54641678929329,34.25969555974007,38.142506033182144,31.884830445051193,66.50571525096893,60.240503400564194
Lower Body Error STD,43.03286224603653,12.794195674359798,9.142711758613586,13.25108390301466,37.60747238993645,10.91909408569336,42.5361767411232,11.555405333638191,48.97554963827133,27.64248475432396
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
10.923103332519531,2.3971142768859863,18.676334381103516,32.802486419677734,59.293148040771484,19.030759811401367,35.36499786376953,64.2459945678711,43.4188117980957,55.0340690612793,63.985862731933594,69.13465118408203,44.02165985107422,55.08306884765625,67.54324340820312,70.56661987304688
