Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,41.1900132894516,32.685235142707825,32.07753971219063,35.34381836652756,37.261608988046646,28.54836732149124,31.219113618135452,28.562916442751884,46.69264703989029,38.34676742553711
Full Body Error STD,28.760874643921852,10.482275858521461,9.027549996972084,12.38000113517046,18.875718116760254,7.4089341796934605,17.731089144945145,9.884367696940899,35.58352589607239,15.58434683829546
Upper Body,29.308892786502838,28.190677985548973,31.962592154741287,37.5029519200325,23.52505549788475,24.52302537858486,26.20965987443924,27.261847630143166,32.28389844298363,24.316344410181046
Upper Body Error STD,22.91616052389145,14.222935773432255,14.829861931502819,18.134230747818947,13.271503150463104,9.68698039650917,14.144256711006165,11.650122702121735,28.337690979242325,12.10425142198801
Lower Body,53.07114124298096,37.17979043722153,32.19247981905937,33.18467736244202,50.99815875291824,32.57370367646217,36.22857108712196,29.86399084329605,61.10139936208725,52.377182990312576
Lower Body Error STD,43.17501559853554,11.879137717187405,8.18226020783186,14.057164080440998,30.000070109963417,7.7848793007433414,29.31569330394268,11.919047683477402,52.6893250644207,25.47977678477764
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
11.92784309387207,2.5204200744628906,16.829530715942383,29.74996566772461,55.803524017333984,17.447948455810547,34.656490325927734,65.53601837158203,40.21188735961914,49.733489990234375,55.64195251464844,61.8934326171875,40.8307991027832,49.81267166137695,61.297298431396484,65.14775848388672
