Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,39.774633944034576,32.80307352542877,30.234400182962418,33.53668004274368,37.21288591623306,30.01834638416767,29.756302013993263,29.985543340444565,43.557435274124146,42.03381389379501
Full Body Error STD,23.20946753025055,9.035930037498474,7.811368443071842,11.508552357554436,19.991284236311913,8.256234228610992,10.626573115587234,8.394706062972546,27.021368965506554,20.174168050289154
Upper Body,29.166610911488533,26.858486235141754,29.006825760006905,32.038748264312744,23.505287244915962,22.944672033190727,25.105275213718414,27.422230690717697,32.10770711302757,27.341410517692566
Upper Body Error STD,19.86638270318508,10.818867944180965,10.73868665844202,14.316889457404613,11.946521699428558,8.092181757092476,9.395904839038849,10.44575497508049,24.506602436304092,13.263169676065445
Lower Body,50.38265883922577,38.74766081571579,31.46197646856308,35.03461927175522,50.920478999614716,37.09201514720917,34.40733253955841,32.54885599017143,55.00715970993042,56.72621726989746
Lower Body Error STD,33.517953008413315,11.718482710421085,8.106800727546215,15.665644779801369,31.277477741241455,10.737159289419651,17.471691593527794,10.187273845076561,37.86223754286766,31.13432787358761
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
11.76388931274414,2.116325616836548,17.157949447631836,29.506189346313477,57.142791748046875,18.19076156616211,33.7171630859375,63.73769760131836,37.25654983520508,46.85392761230469,54.102699279785156,60.237815856933594,37.61040496826172,47.17074966430664,57.78128433227539,62.04752731323242
