Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,50.06546154618263,44.66916248202324,41.07267037034035,43.23021322488785,45.881710946559906,45.8674430847168,43.15893352031708,36.13186627626419,54.331641644239426,50.08639395236969
Full Body Error STD,25.490451604127884,16.05222560465336,12.762507423758507,13.335613533854485,19.8818352073431,43.08226704597473,20.151808857917786,12.203310616314411,28.175024315714836,20.849891006946564
Upper Body,35.58409586548805,34.8343700170517,39.51449319720268,42.43163764476776,29.817543923854828,34.72910821437836,33.92757847905159,33.81890431046486,37.77902200818062,32.40296617150307
Upper Body Error STD,17.448991537094116,14.37675952911377,15.227648429572582,19.50419880449772,10.021567344665527,27.86318212747574,14.375739730894566,13.095158152282238,19.559776410460472,11.937997303903103
Lower Body,64.54683095216751,54.50395494699478,42.63084754347801,44.028788805007935,61.945877969264984,57.00576677918434,52.39028483629227,38.44483196735382,70.88427245616913,67.76981800794601
Lower Body Error STD,39.976172149181366,25.389082729816437,15.313864685595036,12.683971785008907,33.24391320347786,63.28224390745163,33.803943544626236,15.476897358894348,43.63514482975006,33.61552581191063
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
14.695454597473145,7.234592914581299,21.543203353881836,38.83623123168945,73.65643310546875,21.151174545288086,38.408226013183594,69.1468276977539,44.35642623901367,58.37266540527344,71.66020202636719,77.91145324707031,44.30353927612305,59.191627502441406,77.27286529541016,83.30585479736328
