Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,44.68041658401489,32.81138837337494,31.88208118081093,35.93964874744415,41.97849705815315,29.7505222260952,31.29454329609871,29.482152312994003,50.73797330260277,43.32076758146286
Full Body Error STD,27.587978169322014,12.359637767076492,9.06383153051138,16.13003946840763,23.894177749753,12.198023498058319,20.965075120329857,9.969268925487995,31.72050043940544,17.977144569158554
Upper Body,30.78075312077999,26.252685114741325,30.499909073114395,36.10212355852127,25.98351798951626,22.876333445310593,25.119220837950706,26.28280594944954,34.169167280197144,27.68784575164318
Upper Body Error STD,19.924791529774666,14.090743847191334,13.218628242611885,18.486525863409042,11.670653708279133,10.806850157678127,14.291957020759583,11.130738072097301,23.946216329932213,12.653831392526627
Lower Body,58.58008190989494,39.3701009452343,33.26426073908806,35.77717021107674,57.973481714725494,36.62470355629921,37.46986761689186,32.68149867653847,67.30677932500839,58.95369499921799
Lower Body Error STD,43.14855858683586,15.925813466310501,9.465751238167286,22.85742200911045,40.928445756435394,16.13752171397209,35.51369905471802,12.678424827754498,48.76254126429558,27.200475335121155
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
14.69579029083252,2.6277458667755127,19.075162887573242,32.37864303588867,60.658546447753906,18.97148323059082,34.52430725097656,63.31515884399414,46.287811279296875,57.7956657409668,59.911746978759766,66.15607452392578,46.433326721191406,56.691062927246094,65.16317749023438,70.20217895507812
