Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,40.45812785625458,33.25016424059868,32.346874475479126,37.588950246572495,38.260333240032196,30.360743403434753,30.183227732777596,31.458385288715363,44.582635164260864,39.35514762997627
Full Body Error STD,18.891574814915657,10.079744271934032,7.734475191682577,11.973598040640354,16.09940081834793,7.165177259594202,8.980090729892254,8.3576375618577,21.78112231194973,14.32759128510952
Upper Body,27.529269456863403,26.885490864515305,30.218778178095818,37.88081184029579,22.19032682478428,23.578058928251266,25.156551972031593,28.22151407599449,29.80167604982853,23.629382252693176
Upper Body Error STD,17.117388546466827,14.981482177972794,12.563927099108696,20.401665940880775,8.936055935919285,10.823185555636883,12.173228897154331,11.925035156309605,20.393166691064835,10.244003497064114
Lower Body,53.38698625564575,39.61483761668205,34.474972635507584,37.2970812022686,54.330334067344666,37.14342787861824,35.20990535616875,34.69526022672653,59.36359241604805,55.08090183138847
Lower Body Error STD,27.69239991903305,9.660616517066956,7.073276210576296,9.072976186871529,26.739168912172318,6.3788085244596004,10.727955028414726,10.308925993740559,30.67060001194477,22.63142354786396
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
11.198644638061523,1.169320821762085,18.66407585144043,29.916902542114258,54.14358901977539,18.620100021362305,31.576641082763672,54.944854736328125,43.0455436706543,51.7257080078125,54.513267517089844,59.363155364990234,42.50910949707031,51.98439025878906,60.01499557495117,63.93984603881836
