Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,61.25614419579506,59.13726985454559,49.04540628194809,50.16643926501274,61.26195937395096,51.73267424106598,60.02237647771835,44.960010796785355,63.89591097831726,62.781743705272675
Full Body Error STD,25.098584592342377,18.181001767516136,12.298325076699257,12.688816525042057,20.869316533207893,42.34050586819649,22.92170189321041,11.709202080965042,27.262909337878227,20.303048193454742
Upper Body,43.740250170230865,45.847319066524506,46.151697635650635,49.28841441869736,36.71812266111374,37.74426504969597,49.96760934591293,42.01219603419304,45.74936628341675,40.17499089241028
Upper Body Error STD,17.855236306786537,14.500021003186703,14.376679435372353,15.967968851327896,11.368961073458195,28.008518740534782,14.39947634935379,11.335225775837898,19.82295885682106,13.186775147914886
Lower Body,78.77206057310104,72.42721319198608,51.93912237882614,51.04446783661842,85.80578863620758,65.72108715772629,70.07714360952377,47.90782928466797,82.04245567321777,85.38851141929626
Lower Body Error STD,40.506284683942795,28.733838349580765,16.301723197102547,14.413916505873203,35.50335019826889,62.68458813428879,38.26824203133583,16.315815970301628,43.18643733859062,33.227331936359406
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
15.542967796325684,2.8022139072418213,29.747949600219727,58.38385009765625,77.38288116455078,28.274765014648438,60.436744689941406,77.35120391845703,51.74708557128906,78.50212097167969,85.1878433227539,97.00050354003906,48.94438171386719,79.31576538085938,90.48274230957031,98.9970703125
