Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,40.694527328014374,36.04675829410553,32.667599618434906,35.35422682762146,38.70237618684769,30.91944009065628,31.823299825191498,32.89254754781723,44.44015026092529,39.52261433005333
Full Body Error STD,21.895626559853554,11.107941158115864,9.421908296644688,9.41314548254013,18.253711983561516,9.140795096755028,11.44451554864645,11.635050177574158,25.808459147810936,16.49576984345913
Upper Body,28.837719932198524,26.931798085570335,28.15745770931244,29.937652871012688,23.75994436442852,23.96957390010357,25.36059357225895,28.292758390307426,31.66084736585617,26.177603751420975
Upper Body Error STD,20.354948937892914,11.507628485560417,11.084985919296741,12.21312303096056,12.734527699649334,9.977391920983791,11.54415961354971,12.678558006882668,24.70862679183483,15.974575653672218
Lower Body,52.55134031176567,45.16172036528587,37.177737802267075,40.77080264687538,53.64479869604111,37.86930441856384,38.2860042154789,37.49234229326248,57.21944198012352,52.867621183395386
Lower Body Error STD,29.740598052740097,14.741444028913975,11.302221566438675,11.832717806100845,28.268758207559586,10.51010750234127,16.904640942811966,14.316204935312271,33.93256291747093,22.794973105192184
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
11.008728981018066,2.5716135501861572,16.573652267456055,30.748319625854492,56.962154388427734,16.83130645751953,32.770381927490234,63.235260009765625,42.213199615478516,52.19319152832031,53.88454055786133,60.900291442871094,41.72565841674805,51.74530029296875,56.28065872192383,61.467891693115234
