Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,67.18906760215759,62.62984126806259,52.086241543293,54.663028568029404,65.84269553422928,58.90033021569252,69.0227597951889,48.85854944586754,70.2851265668869,69.24889981746674
Full Body Error STD,28.067929670214653,20.990047603845596,15.001465566456318,16.985218971967697,22.76132069528103,40.88182747364044,26.79680660367012,15.064571984112263,30.743638053536415,22.585924714803696
Upper Body,49.664247781038284,50.50316080451012,51.48494243621826,53.91543731093407,41.43190756440163,40.939077734947205,57.53497779369354,45.45898362994194,52.44437977671623,45.307476073503494
Upper Body Error STD,20.041365176439285,16.572775319218636,16.99318177998066,21.78364060819149,13.921234756708145,27.722619473934174,18.379326909780502,15.62681794166565,21.431939676404,16.35204814374447
Lower Body,84.7138911485672,74.75651800632477,52.687544375658035,55.41062355041504,90.25347977876663,76.86158269643784,80.51054924726486,52.258118987083435,88.12586218118668,93.19032728672028
Lower Body Error STD,43.33627596497536,31.70756995677948,17.712315544486046,17.7009254693985,36.474645137786865,60.22721156477928,42.11495816707611,19.214197993278503,47.06430435180664,33.762283623218536
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
16.510639190673828,3.5647549629211426,37.279117584228516,61.14882278442383,95.21488189697266,35.163856506347656,61.50753402709961,86.92476654052734,64.2303237915039,78.5133285522461,89.12216186523438,98.78331756591797,63.30261993408203,82.72572326660156,95.36343383789062,105.67134094238281
