Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,51.614172756671906,43.49568486213684,39.74685072898865,41.96204990148544,47.88345843553543,46.01740092039108,41.79259017109871,35.48808395862579,57.017747312784195,50.28166249394417
Full Body Error STD,27.199404314160347,17.420504242181778,13.122539967298508,13.043646700680256,21.73609845340252,41.449762880802155,21.275008097290993,12.037219479680061,30.114196240901947,21.267730742692947
Upper Body,35.35175323486328,33.27961638569832,38.37425261735916,41.32942110300064,29.54762801527977,33.95375236868858,32.82196819782257,32.00851008296013,38.1697379052639,31.052689999341965
Upper Body Error STD,18.0547796189785,14.389964751899242,15.550944954156876,18.611816689372063,10.501349344849586,26.9304309040308,13.42328917235136,12.21835520118475,20.593808963894844,11.444666422903538
Lower Body,67.87658482789993,53.711749613285065,41.11944884061813,42.59467497467995,66.2192851305008,58.08104947209358,50.76321214437485,38.96766155958176,75.86575299501419,69.51063126325607
Lower Body Error STD,42.791515588760376,28.963329270482063,15.647374093532562,12.486889027059078,36.517977714538574,60.77313423156738,37.29187324643135,16.154585406184196,46.39728367328644,34.79741886258125
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
15.344581604003906,7.1172285079956055,20.74640464782715,38.34923553466797,73.46269226074219,21.278886795043945,38.47259521484375,68.0416488647461,46.7871208190918,60.7888298034668,72.75739288330078,81.97430419921875,47.107139587402344,59.923057556152344,82.74894714355469,90.92422485351562
