Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,50.428930670022964,39.358045905828476,35.926830023527145,40.04821926355362,48.30193519592285,43.61603781580925,37.561722099781036,34.024182707071304,55.98623678088188,50.16911402344704
Full Body Error STD,32.08164870738983,12.065505608916283,10.105578228831291,13.58594186604023,26.46680362522602,45.50776258111,17.18159206211567,12.889038771390915,36.87954694032669,23.778505623340607
Upper Body,35.215917974710464,30.755646526813507,32.73371607065201,38.44849765300751,27.80088037252426,31.45294263958931,28.976237401366234,29.926961287856102,40.10862484574318,29.627550393342972
Upper Body Error STD,27.451343834400177,15.70800319314003,14.316311106085777,18.66809092462063,17.897088080644608,31.51901811361313,13.362889178097248,17.160309478640556,32.99826383590698,16.853591427206993
Lower Body,65.64194709062576,47.960445284843445,39.119940251111984,41.647933423519135,68.80298256874084,55.77912926673889,46.14720866084099,38.12140226364136,71.86384499073029,70.7106664776802
Lower Body Error STD,48.54940623044968,16.35148748755455,10.630995035171509,15.466494485735893,43.06923225522041,66.03892892599106,25.744443759322166,13.48504051566124,55.38810417056084,36.7276594042778
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
12.082525253295898,4.894347667694092,17.889116287231445,35.44670104980469,71.34703063964844,17.759477615356445,41.619258880615234,80.68965911865234,49.3675651550293,60.604393005371094,72.16534423828125,78.66653442382812,50.847007751464844,59.88573455810547,73.30206298828125,80.29605865478516
