Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,54.47254702448845,57.6755665242672,52.22296342253685,61.903491616249084,49.11528155207634,45.044586062431335,53.86030673980713,54.88105118274689,56.19296059012413,54.824188351631165
Full Body Error STD,21.681806072592735,14.304226264357567,13.68016004562378,10.10663527995348,17.017433419823647,10.894693434238434,15.522422268986702,9.942339733242989,24.54916574060917,23.39066192507744
Upper Body,37.03099861741066,36.500364542007446,37.155915051698685,40.372252464294434,30.453983694314957,31.156569719314575,36.377545446157455,34.80158746242523,39.78291153907776,34.92427244782448
Upper Body Error STD,18.96093040704727,12.091203592717648,12.962471693754196,13.368997722864151,11.805706657469273,9.042433463037014,14.264533296227455,9.944875724613667,22.588742896914482,14.371749013662338
Lower Body,71.91409915685654,78.85076850652695,67.29002296924591,83.43473821878433,67.77657568454742,58.9325986802578,71.3430717587471,74.96052980422974,72.6030096411705,74.72409307956696
Lower Body Error STD,30.86409531533718,21.62923663854599,20.920800045132637,12.581480666995049,27.112331241369247,14.725003391504288,22.87433110177517,15.07501769810915,33.582210540771484,36.904461681842804
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
13.034595489501953,5.96083402633667,22.901548385620117,38.9056510925293,74.54951477050781,23.60662269592285,41.01824188232422,76.27110290527344,49.07974624633789,70.15172576904297,82.19678497314453,90.460205078125,46.956565856933594,66.7674331665039,83.16163635253906,86.5378189086914
