Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,40.62981531023979,37.86159306764603,39.900217205286026,35.66354513168335,40.33263027667999,41.86553880572319,44.14442554116249,35.52554175257683,40.578220039606094,42.37613081932068
Full Body Error STD,12.11656630039215,8.92505794763565,10.853099636733532,7.221377920359373,10.86883433163166,25.951622053980827,12.991498224437237,9.010226465761662,11.70475035905838,11.812684126198292
Upper Body,31.64876624941826,30.782027170062065,34.64287891983986,31.68056160211563,28.66544760763645,32.97758102416992,41.58846288919449,30.729757621884346,31.438365578651428,30.599400401115417
Upper Body Error STD,11.80906780064106,9.495200589299202,12.180464342236519,9.821757674217224,7.862618193030357,20.520515739917755,14.592576771974564,10.938316583633423,11.862475425004959,9.456221014261246
Lower Body,49.61086064577103,44.94114965200424,45.15755549073219,39.64652866125107,51.99982225894928,50.753481686115265,46.70039191842079,40.32132402062416,49.71807822585106,54.15285751223564
Lower Body Error STD,19.088072702288628,13.957628980278969,17.192013561725616,10.410740040242672,18.7712199985981,38.28061744570732,16.676485538482666,12.75298185646534,18.244776874780655,20.161548629403114
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
17.622318267822266,12.660666465759277,19.84323501586914,31.573686599731445,54.138389587402344,17.94513702392578,32.31262969970703,67.09300231933594,39.83264923095703,48.04136276245117,55.12863540649414,55.32257080078125,39.36598205566406,47.94659423828125,55.301544189453125,55.94645690917969
