Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,40.44870659708977,32.059602439403534,30.907107517123222,36.049190908670425,38.603413850069046,28.5815242677927,28.665723279118538,28.255540877580643,44.68420520424843,41.50077700614929
Full Body Error STD,21.273836493492126,9.621171280741692,7.809859234839678,11.634225025773048,15.476087108254433,5.652610212564468,10.403457097709179,7.2310203686356544,25.21730400621891,16.20856486260891
Upper Body,28.191767632961273,25.65297670662403,28.494922444224358,35.31871363520622,23.133501410484314,22.550370544195175,24.01803433895111,25.497324764728546,31.03216551244259,25.3561083227396
Upper Body Error STD,21.011678501963615,12.484761886298656,12.833996675908566,16.948267817497253,10.10098960250616,7.123788818717003,14.177235774695873,8.833038620650768,26.106080040335655,13.286437839269638
Lower Body,52.705638110637665,38.466233760118484,33.31929072737694,36.77966073155403,54.073333740234375,34.61267426609993,33.31341594457626,31.01375326514244,58.33624303340912,57.645443826913834
Lower Body Error STD,30.830683186650276,11.632267385721207,7.168926298618317,12.59294617921114,26.140565052628517,6.859641056507826,12.249617837369442,9.212932549417019,35.090312361717224,26.791270822286606
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
11.048507690429688,1.2415661811828613,18.062437057495117,31.10026741027832,53.30697250366211,17.864593505859375,34.34477615356445,58.56524658203125,40.56200408935547,50.52473831176758,54.4111442565918,63.08668899536133,40.8422966003418,51.029911041259766,57.33184814453125,63.85615539550781
