Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,63.689522445201874,57.43091180920601,47.904182225465775,50.44202134013176,63.57797235250473,51.461730152368546,64.72007185220718,44.760286808013916,66.889189183712,65.87602198123932
Full Body Error STD,27.746163308620453,19.31583695113659,13.442743569612503,14.737972058355808,22.764701396226883,41.77934676408768,23.829394951462746,11.913557536900043,30.215146020054817,24.463078007102013
Upper Body,46.2932214140892,44.89307850599289,47.357235103845596,53.030017763376236,38.56134042143822,38.99190202355385,54.73582074046135,42.34354570508003,48.744309693574905,42.7837073802948
Upper Body Error STD,19.922032952308655,14.962676912546158,16.243884339928627,20.995181053876877,11.833957396447659,28.9215836673975,17.49930903315544,13.432243838906288,21.99239283800125,15.992885455489159
Lower Body,81.08582347631454,69.96874511241913,48.45112934708595,47.85400629043579,88.59459310770035,63.93156200647354,74.70432668924332,47.1770316362381,85.03406494855881,88.96833658218384
Lower Body Error STD,43.76238211989403,32.876912504434586,15.770036727190018,13.831708580255508,38.109712302684784,60.20347401499748,37.152089178562164,15.850771218538284,46.848539263010025,38.46174478530884
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
16.589628219604492,2.4152958393096924,34.00050354003906,57.90953063964844,83.97038269042969,33.198360443115234,60.978759765625,81.28350067138672,57.61967849731445,82.42979431152344,89.59144592285156,98.35442352294922,56.01850509643555,80.40385437011719,88.27285766601562,95.99620056152344
