Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,57.87051096558571,51.980506628751755,44.76245120167732,47.59839177131653,57.348255068063736,50.674427300691605,52.42381617426872,41.20232164859772,61.352815479040146,59.331197291612625
Full Body Error STD,26.319846510887146,17.79905892908573,12.366659007966518,12.3645244166255,21.797221153974533,39.920225739479065,19.203968346118927,11.035110801458359,29.165228828787804,22.43976853787899
Upper Body,40.728263556957245,41.014038026332855,42.53717139363289,46.750396490097046,33.744122833013535,36.590538918972015,46.5848483145237,37.83044219017029,42.662087827920914,38.33022341132164
Upper Body Error STD,17.81730353832245,14.538637362420559,15.434075146913528,17.812645062804222,11.372850276529789,25.958003476262093,15.770792961120605,11.756012216210365,19.723741337656975,13.253350742161274
Lower Body,75.01275837421417,62.946975231170654,46.987734735012054,48.44638705253601,80.95239102840424,64.7583082318306,58.26278403401375,44.57419738173485,80.04353940486908,80.3321823477745
Lower Body Error STD,42.41350665688515,27.598056942224503,13.827391900122166,11.955376714468002,36.817487329244614,59.092286974191666,29.35960702598095,14.37387615442276,46.33130878210068,37.314169108867645
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
15.235013961791992,2.6981053352355957,28.391590118408203,51.970489501953125,73.80912780761719,28.117942810058594,54.5439567565918,71.0591812133789,50.611515045166016,74.0293960571289,80.59164428710938,89.47759246826172,50.96206283569336,75.99925231933594,85.62476348876953,92.80586242675781
