Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,51.853448152542114,44.29225251078606,40.6578853726387,43.05523633956909,48.890121281147,46.463143080472946,42.370472103357315,36.507751792669296,56.62442371249199,51.50831490755081
Full Body Error STD,26.140227913856506,15.908906236290932,12.332278303802013,13.305947184562683,21.607665345072746,42.3683226108551,18.56393925845623,12.54997868090868,28.687097132205963,21.734876558184624
Upper Body,35.32005473971367,32.931167632341385,36.02438420057297,40.34450277686119,30.136113986372948,34.70243141055107,33.01486000418663,32.13534504175186,37.95839101076126,31.87437355518341
Upper Body Error STD,17.550449818372726,13.933868147432804,14.859209768474102,17.91555806994438,10.386955924332142,27.70855836570263,14.30261880159378,11.975131928920746,19.89450678229332,11.344674043357372
Lower Body,68.38683038949966,55.65333366394043,45.291393995285034,45.76596990227699,67.64411926269531,58.22386592626572,51.7260804772377,40.88015481829643,75.29044896364212,71.14224880933762
Lower Body Error STD,40.856290608644485,25.1594427973032,14.878075569868088,13.96665908396244,35.96774488687515,61.84914708137512,29.98243272304535,17.33587682247162,44.196899980306625,35.4449525475502
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
14.73427677154541,6.7563934326171875,20.484455108642578,38.47823715209961,72.42111206054688,20.571271896362305,38.466827392578125,70.64794158935547,48.11025619506836,61.37575149536133,75.18741607666016,83.81283569335938,48.01629638671875,64.5943374633789,81.51860809326172,84.47997283935547
