Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,55.94052001833916,44.26221176981926,43.415822088718414,42.117804288864136,54.91289496421814,48.73042181134224,46.01902887225151,34.90329161286354,61.20174750685692,54.98555302619934
Full Body Error STD,32.66569226980209,13.16585298627615,12.236109003424644,14.079306274652481,31.46929293870926,47.90250211954117,25.897009298205376,11.912554502487183,35.332150757312775,27.852850034832954
Upper Body,40.396083146333694,37.71628439426422,40.26082903146744,47.16617986559868,32.39778056740761,38.34310173988342,38.530852645635605,36.271631717681885,44.390883296728134,34.92898866534233
Upper Body Error STD,24.405207484960556,14.172323979437351,14.095827005803585,18.555263057351112,15.164708718657494,31.193530187010765,16.01315848529339,13.187565840780735,28.641438111662865,18.340785056352615
Lower Body,71.48496806621552,50.808146595954895,46.57081514596939,37.06943243741989,77.42800563573837,59.117741882801056,53.50720137357712,33.5349515080452,78.01260054111481,75.04212856292725
Lower Body Error STD,49.806684255599976,21.965114399790764,19.166599959135056,17.30230450630188,53.27673628926277,71.17420434951782,44.40905526280403,14.889204874634743,51.46682262420654,41.67546331882477
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
14.667134284973145,9.312400817871094,23.621217727661133,42.188079833984375,79.02923583984375,22.17578125,46.3873291015625,85.78799438476562,49.682647705078125,64.19559478759766,80.4645767211914,86.98091125488281,48.52385711669922,64.99830627441406,85.66291809082031,91.3714370727539
