Evalution Error [mm],All,Gaming,Gesticuling,Greeting,LowerStretching,Patting,Reacting,Talking,UpperStretching,Walking
Full Body,51.15504562854767,42.72066429257393,37.925444543361664,40.58530926704407,49.255065619945526,48.30067977309227,43.69307681918144,36.167751997709274,55.89327588677406,48.900868743658066
Full Body Error STD,28.59949879348278,14.49612807482481,12.169012799859047,14.003883115947247,26.259953156113625,45.757800340652466,21.780215203762054,12.00079545378685,31.3662588596344,21.763795986771584
Upper Body,37.18848153948784,36.027826368808746,36.87598183751106,42.25177690386772,30.898021534085274,36.302004009485245,36.253515630960464,33.589668571949005,40.13596475124359,33.30399841070175
Upper Body Error STD,23.567991331219673,14.880075119435787,13.308295980095863,16.30723662674427,15.384730882942677,29.58874963223934,19.000021740794182,11.33799273520708,27.556443586945534,18.42036470770836
Lower Body,65.1216134428978,49.41350966691971,38.97490352392197,38.91884908080101,67.61210411787033,60.29935926198959,51.13263800740242,38.74583542346954,71.65058702230453,64.49774652719498
Lower Body Error STD,42.844176292419434,22.22454361617565,15.420543029904366,17.160598188638687,43.38906332850456,67.61195510625839,30.010022222995758,16.590971499681473,45.862141996622086,31.798996031284332
Head,Neck,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RightUpLeg,RightLeg,RightFoot,RightToeBase
12.549280166625977,7.855505466461182,20.243562698364258,42.687652587890625,77.67803192138672,19.200695037841797,41.945587158203125,75.347900390625,46.82411575317383,60.7187614440918,71.6086196899414,76.50116729736328,47.241355895996094,60.89072799682617,76.35871124267578,80.82955932617188
